"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"166","Census Tract 120","186","Census Tract 505.44","3/1/2020 - 3/31/2020, Every day, Daily Average",2072,1695,2532
"166","Census Tract 120","187","Census Tract 505.37","3/1/2020 - 3/31/2020, Every day, Daily Average",1587,1233,2041
"166","Census Tract 120","188","Census Tract 506.07","3/1/2020 - 3/31/2020, Every day, Daily Average",2155,1781,2607
"166","Census Tract 120","189","Census Tract 506.08","3/1/2020 - 3/31/2020, Every day, Daily Average",2294,1919,2741
"166","Census Tract 120","190","Census Tract 505.46","3/1/2020 - 3/31/2020, Every day, Daily Average",2435,1974,3002
"166","Census Tract 120","191","Census Tract 505.48","3/1/2020 - 3/31/2020, Every day, Daily Average",2046,1609,2601
"166","Census Tract 120","192","Census Tract 507.24","3/1/2020 - 3/31/2020, Every day, Daily Average",2610,2028,3357
"166","Census Tract 120","193","Census Tract 505.23","3/1/2020 - 3/31/2020, Every day, Daily Average",1890,1524,2343
"166","Census Tract 120","194","Census Tract 507.28","3/1/2020 - 3/31/2020, Every day, Daily Average",2236,1868,2676
"166","Census Tract 120","195","Census Tract 502.16","3/1/2020 - 3/31/2020, Every day, Daily Average",1825,1408,2365
"166","Census Tract 120","196","Census Tract 504.31","3/1/2020 - 3/31/2020, Every day, Daily Average",1718,1316,2241
"166","Census Tract 120","199","Census Tract 1601","3/1/2020 - 3/31/2020, Every day, Daily Average",2368,1790,3131
"166","Census Tract 120","201","Census Tract 1602","3/1/2020 - 3/31/2020, Every day, Daily Average",2422,1866,3142
"166","Census Tract 120","203","Census Tract 1605","3/1/2020 - 3/31/2020, Every day, Daily Average",2600,2000,3379
"166","Census Tract 120","204","Census Tract 9607","3/1/2020 - 3/31/2020, Every day, Daily Average",2544,1989,3253
"166","Census Tract 120","205","Census Tract 9608.03","3/1/2020 - 3/31/2020, Every day, Daily Average",2299,1794,2945
"166","Census Tract 120","206","Census Tract 9608.02","3/1/2020 - 3/31/2020, Every day, Daily Average",2013,1576,2571
"166","Census Tract 120","207","Census Tract 9608.01","3/1/2020 - 3/31/2020, Every day, Daily Average",1939,1510,2488
"166","Census Tract 120","208","Census Tract 806.02","3/1/2020 - 3/31/2020, Every day, Daily Average",1355,1049,1748
"166","Census Tract 120","212","Census Tract 1106.03","3/1/2020 - 3/31/2020, Every day, Daily Average",2703,2229,3277
"166","Census Tract 120","213","Census Tract 1105.06","3/1/2020 - 3/31/2020, Every day, Daily Average",2380,2095,2703
"166","Census Tract 120","214","Census Tract 1105.07","3/1/2020 - 3/31/2020, Every day, Daily Average",2761,2441,3122
"166","Census Tract 120","215","Census Tract 1106.01","3/1/2020 - 3/31/2020, Every day, Daily Average",3012,2512,3610
"166","Census Tract 120","216","Census Tract 910.06","3/1/2020 - 3/31/2020, Every day, Daily Average",2219,1838,2678
"166","Census Tract 120","220","Census Tract 1404.04","3/1/2020 - 3/31/2020, Every day, Daily Average",2017,1550,2623
"166","Census Tract 120","221","Census Tract 1404.05","3/1/2020 - 3/31/2020, Every day, Daily Average",2137,1636,2789
"166","Census Tract 120","222","Census Tract 1404.03","3/1/2020 - 3/31/2020, Every day, Daily Average",1751,1364,2246
"166","Census Tract 120","226","Census Tract 1404.07","3/1/2020 - 3/31/2020, Every day, Daily Average",2058,1574,2690
"166","Census Tract 120","227","Census Tract 1401.02","3/1/2020 - 3/31/2020, Every day, Daily Average",1583,1163,2154
"166","Census Tract 120","228","Census Tract 1404.06","3/1/2020 - 3/31/2020, Every day, Daily Average",1768,1279,2442
"166","Census Tract 120","229","Census Tract 1403.03","3/1/2020 - 3/31/2020, Every day, Daily Average",2362,1872,2979
"166","Census Tract 120","230","Census Tract 1401.01","3/1/2020 - 3/31/2020, Every day, Daily Average",1438,1134,1822
"166","Census Tract 120","231","Census Tract 1402.03","3/1/2020 - 3/31/2020, Every day, Daily Average",1560,1261,1929
"166","Census Tract 120","233","Census Tract 1402.04","3/1/2020 - 3/31/2020, Every day, Daily Average",1794,1422,2262
"166","Census Tract 120","234","Census Tract 1402.06","3/1/2020 - 3/31/2020, Every day, Daily Average",1846,1509,2258
"166","Census Tract 120","236","Census Tract 29","3/1/2020 - 3/31/2020, Every day, Daily Average",328,179,598
"166","Census Tract 120","237","Census Tract 102.06","3/1/2020 - 3/31/2020, Every day, Daily Average",1173,862,1596
"166","Census Tract 120","238","Census Tract 101.06","3/1/2020 - 3/31/2020, Every day, Daily Average",1341,1016,1768
"166","Census Tract 120","239","Census Tract 102.04","3/1/2020 - 3/31/2020, Every day, Daily Average",1342,902,1994
"166","Census Tract 120","240","Census Tract 66.02","3/1/2020 - 3/31/2020, Every day, Daily Average",592,385,908
"166","Census Tract 120","241","Census Tract 908.02","3/1/2020 - 3/31/2020, Every day, Daily Average",2736,2191,3416
"166","Census Tract 120","242","Census Tract 116.24","3/1/2020 - 3/31/2020, Every day, Daily Average",2430,1943,3038
"166","Census Tract 120","243","Census Tract 911.03","3/1/2020 - 3/31/2020, Every day, Daily Average",1871,1456,2403
